时间,当前模式,当前信号源,信号源状态,锁定状态,锁定指示,AGC门限,AGC电压,方位误差电压,俯仰误差电压,转台系引导方位角,转台系引导俯仰角,转台系引导倾斜角,转台系方位角,转台系俯仰角,转台系倾斜角,转台系方位偏差,转台系俯仰偏差,转台系倾斜偏差,大地系引导方位角,大地系引导俯仰角,大地系方位角,大地系引导俯仰角,大地系方位偏差,大地系俯仰偏差,方位轴电机1上电,方位轴电机2上电,方位轴电机1状态,方位轴电机2状态,方位轴电机1电流,方位轴电机2电流,方位轴电机1电压,方位轴电机2电压,方位轴电机1转动惯量,方位轴电机2转动惯量,方位轴电机1驱动器温度,方位轴电机2驱动器温度,
2025/12/30 15:16:35.700,指向,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:35.800,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:35.800,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:35.900,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:35.950,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:36.000,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:36.050,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:36.100,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:36.200,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025/12/30 15:16:36.250,待机,0,未连接,未锁定,未锁定,2.500,0.000,5.000,5.000,219.397,16.094,0.994,219.416,16.021,0.994,-0.019,0.000,0.000,218.403,16.094,218.422,16.021,-0.019,0.073,方位轴电机1掉电,方位轴电机1掉电,方位轴电机1正常,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
